   5.5000000E+00   1.0000000E-02   6.6418605E-08   2.7915373E-05   7.1328451E-05   4.3363186E-08   0.0000000E+00
   5.5000000E+00   1.5000000E-02   2.2416279E-07   6.2809589E-05   1.0699269E-04   1.4635074E-07   0.0000000E+00
   5.5000000E+00   2.0000000E-02   5.3134884E-07   1.1166149E-04   1.4265695E-04   3.4690538E-07   0.0000000E+00
   5.5000000E+00   2.5000000E-02   1.0377907E-06   1.7447108E-04   1.7832124E-04   6.7754935E-07   0.0000000E+00
   5.5000000E+00   3.0000000E-02   1.6974003E-06   2.4919877E-04   2.1491755E-04  -6.4917952E-07   5.3973795E-04
   5.5000000E+00   3.5000000E-02   2.9032586E-06   3.4500701E-04   2.6565977E-04   6.0115611E-06   2.6429376E-05
   5.5000000E+00   4.0000000E-02   4.2161991E-06   4.4494390E-04   2.9922543E-04   8.7733476E-06   4.0081342E-05
   5.5000000E+00   4.5000000E-02   6.1675375E-06   5.6689095E-04   3.4364590E-04   1.4601430E-05   5.9094819E-05
   5.5000000E+00   5.0000000E-02   8.4284198E-06   7.0081222E-04   3.7994382E-04   1.8460914E-05   6.5085853E-05
   5.5000000E+00   5.5000000E-02   1.0978761E-05   8.4202391E-04   4.1196912E-04   2.4689964E-05   9.0957297E-05
   5.5000000E+00   6.0000000E-02   1.4742962E-05   1.0113071E-03   4.6069726E-04   3.9101720E-05   1.2627120E-04
   5.5000000E+00   6.5000000E-02   1.9198302E-05   1.1969158E-03   5.0695567E-04   5.0967567E-05   1.4024411E-04
   5.5000000E+00   7.0000000E-02   2.3921025E-05   1.3892048E-03   5.4427517E-04   5.8717810E-05   1.4574712E-04
   5.5000000E+00   7.5000000E-02   2.8634185E-05   1.5818193E-03   5.7220372E-04   6.3150322E-05   1.4754911E-04
   5.5000000E+00   8.0000000E-02   3.3518957E-05   1.7767890E-03   5.9633386E-04   6.8912755E-05   1.5922765E-04
   5.5000000E+00   8.5000000E-02   4.0342035E-05   2.0043801E-03   6.3627432E-04   9.0102100E-05   2.0506705E-04
   5.5000000E+00   9.0000000E-02   4.8625988E-05   2.2572392E-03   6.8106780E-04   1.1368711E-04   2.3628406E-04
   5.5000000E+00   9.5000000E-02   5.7701031E-05   2.5244934E-03   7.2265874E-04   1.3291718E-04   2.5264381E-04
   5.5000000E+00   1.0000000E-01   6.7071907E-05   2.7980565E-03   7.5791882E-04   1.4648316E-04   2.6033182E-04
   5.5000000E+00   1.0500000E-01   7.6537710E-05   3.0737808E-03   7.8731692E-04   1.5681989E-04   2.6735460E-04
   5.5000000E+00   1.1000000E-01   8.7903306E-05   3.3713331E-03   8.2448316E-04   1.8453393E-04   3.1114054E-04
   5.5000000E+00   1.1500000E-01   1.0110553E-04   3.6906346E-03   8.6635183E-04   2.2027827E-04   3.5521546E-04
   5.5000000E+00   1.2000000E-01   1.1547285E-04   4.0246723E-03   9.0742198E-04   2.5375991E-04   3.8493836E-04
   5.5000000E+00   1.2500000E-01   1.3047360E-04   4.3678510E-03   9.4481350E-04   2.8088098E-04   4.0234724E-04
   5.5000000E+00   1.3000000E-01   1.4572503E-04   4.7160229E-03   9.7739844E-04   3.0106589E-04   4.1183348E-04
   5.5000000E+00   1.3500000E-01   1.6282051E-04   5.0820645E-03   1.0134905E-03   3.3674518E-04   4.5146676E-04
   5.5000000E+00   1.4000000E-01   1.8216782E-04   5.4694629E-03   1.0537275E-03   3.8570919E-04   5.0318075E-04
   5.5000000E+00   1.4500000E-01   2.0307228E-04   5.8724511E-03   1.0941654E-03   4.3529282E-04   5.4485530E-04
   5.5000000E+00   1.5000000E-01   2.2495996E-04   6.2862342E-03   1.1324263E-03   4.7904829E-04   5.7326024E-04
   5.5000000E+00   1.6000000E-01   2.7141235E-04   7.1416550E-03   1.2028250E-03   5.5960595E-04   6.2610901E-04
   5.5000000E+00   1.7000000E-01   3.2677537E-04   8.0695877E-03   1.2819988E-03   6.9067698E-04   7.3390867E-04
   5.5000000E+00   1.8000000E-01   3.8759703E-04   9.0460102E-03   1.3567709E-03   8.0777071E-04   7.9973784E-04
   5.5000000E+00   1.9000000E-01   4.5519149E-04   1.0074761E-02   1.4310353E-03   9.4574833E-04   8.9340657E-04
   5.5000000E+00   2.0000000E-01   5.3213984E-04   1.1169966E-02   1.5093943E-03   1.1174839E-03   1.0022241E-03
   5.5000000E+00   2.1000000E-01   6.1450896E-04   1.2307573E-02   1.5823315E-03   1.2680894E-03   1.0745851E-03
   5.5000000E+00   2.2000000E-01   7.0741377E-04   1.3511420E-02   1.6599406E-03   1.4747365E-03   1.2019767E-03
   5.5000000E+00   2.3000000E-01   8.0868499E-04   1.4769784E-02   1.7366475E-03   1.6839256E-03   1.3068323E-03
   5.5000000E+00   2.4000000E-01   9.1759186E-04   1.6076417E-02   1.8111655E-03   1.8966160E-03   1.4098169E-03
   5.5000000E+00   2.5000000E-01   1.0384686E-03   1.7449651E-02   1.8895449E-03   2.1627554E-03   1.5483599E-03
   5.5000000E+00   2.6000000E-01   1.1670023E-03   1.8869273E-02   1.9647721E-03   2.4098521E-03   1.6499845E-03
   5.5000000E+00   2.7000000E-01   1.3072292E-03   2.0349625E-02   2.0421051E-03   2.7066571E-03   1.7918237E-03
   5.5000000E+00   2.8000000E-01   1.4587641E-03   2.1888339E-02   2.1201190E-03   3.0260337E-03   1.9314025E-03
   5.5000000E+00   2.9000000E-01   1.6191986E-03   2.3474209E-02   2.1957797E-03   3.3366343E-03   2.0517325E-03
